permutation_index,evidence_application_order,canonical_active_factor_signature,final_possible_joint_world_count,order_independent
49,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>shared_and_topology>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
50,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>timing_relation_set>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
51,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>shared_and_topology>sar_family_pair_geometry_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
52,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>shared_and_topology>timing_relation_set>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
53,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>timing_relation_set>sar_family_pair_geometry_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
54,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>timing_relation_set>shared_and_topology>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
55,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>shared_and_topology>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
56,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>timing_relation_set>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
57,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>shared_and_topology>optical_raw_definite_order_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
58,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>shared_and_topology>timing_relation_set>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
59,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>timing_relation_set>optical_raw_definite_order_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
60,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>timing_relation_set>shared_and_topology>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
61,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>shared_and_topology>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
62,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>shared_and_topology>optical_raw_definite_order_alone>timing_relation_set>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
63,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>shared_and_topology>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
64,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>shared_and_topology>sar_family_pair_geometry_alone>timing_relation_set>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
65,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>shared_and_topology>timing_relation_set>optical_raw_definite_order_alone>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
66,lifecycle>corridor>p0_upper_temporal_structure>cross_modal_definite_order_intersection>shared_and_topology>timing_relation_set>sar_family_pair_geometry_alone>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
