order_profile_id,segment_id,run_id,track_a,track_b,segment_frame_count,paired_raw_interval_frame_count,raw_relation_set,whole_segment_optical_order,whole_segment_definite_order,overlap_or_uncertain_frame_set,unavailable_frame_set,nominal_frame_equality_used_as_hard_timing_authority,manual_reference_used
TERGOP_7C11C596AAC78813A48B,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,8,8,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_6591FF3E06AFA716311C,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,8,3,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,481;482;483;484;485,False,False
TERGOP_C262180A006B74980A57,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,8,1,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,481;482;483;484;485;486;487,False,False
TERGOP_A135960046DBAC066CAC,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,8,3,{OPTICAL_OVERLAP_OR_UNCERTAIN},NO_WHOLE_SEGMENT_DEFINITE_ORDER,False,486;487;488,481;482;483;484;485,False,False
TERGOP_947212180E34CD79A038,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,8,1,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,481;482;483;484;485;486;487,False,False
TERGOP_D6454BA8305867E9032F,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_REUSED_R02ZF_PERSON024,8,1,{OPTICAL_OVERLAP_OR_UNCERTAIN},NO_WHOLE_SEGMENT_DEFINITE_ORDER,False,488,481;482;483;484;485;486;487,False,False
TERGOP_CAA8F67BE7BAB5125923,TERGS_6C426359C612628C7A31,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,14,14,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_5FA2D8360F6AE3E97349,TERGS_38238A43231066968F66,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,14,14,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_4477223B274F5A04D50A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,8,8,{A_LEFT_OF_B},A_LEFT_OF_B,True,,,False,False
TERGOP_63B4FAFEADDE19F47114,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,8,8,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_48D74BA5015DE1BA7AC5,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,8,3,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,490;491;492;493;494,False,False
TERGOP_37C9F13213E93B74CDF9,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,487,False,False
