segment_id,run_id,track_id,family_id,physical_observable_membership_signature_sha256,r0_constraint_signature_sha256,full_observational_signature_sha256,true_observational_equivalence_class_size,true_observational_equivalence_merge_allowed,r0_compatibility_status_alone_used_to_merge
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_332A560A984D2C87286F,350ad22d286bc0ed13135c71f1c0758ab76a3f881569983fa09d9e944dfe4f85,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,9bc932532680d892dd9475c374965f07b8ea05fccc05d943c0af98e5bfcbf04a,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_271AD93E16ADA26E84F6,32519bcc186f07afac82cd62b4ae855ded1e77e4c1cd54a62ce6170b895e7935,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,3a8c727a96e14bce9eaea0abb3830c8bdec4b22a5b85523c089333368afe7b32,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_647DF49F304FCF0C6885,6ee77977a5dee791d054c39dea58874e0e9b45490def3dfa00aa1b5e9ec33725,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,baa62a5718a3af509f8c20c20785f142e1fd696a816d063c1adfda22865048d5,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_03617101F43558FCE9DE,4be4fe86632ebc90c2fd0cd7d60a9f3523af2437758866cc1c63928e555ff6a7,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,cd42601694b02e71dd6229d9489e934517c983a249567d00eb40717aead738fe,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_5A2FEF7ACB9CB4736168,23674bdd2aac8adfffb5d61abf5a5ef5194364f7e990295196778036ce2f3186,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,0ff0a4569a00037dbc70038e02ae2255434f0921d5fe8a188339890f396e3c01,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_E146D4B5196AC36BBBEB,f73f211b8c94a36fa51b3bb15c61dc27a0ae93a06af1f366f15c722f53c32a73,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,635a1a66430399e2a447cc7b59b4191716f50c9b2633b5c47c9cef5137aa1295,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_1FD24571FCAEE6F42399,ae8577a3ee0308d247931745d8744e9941a36e6402823c4cb9d414e66314ec29,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,3db7081ff9198c4d5fa13656b1a2927f7156abba21f70bac3e7392acff76191d,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_B33F596AE2E2FA282073,ab4e38f382ca1eaf86a896ab0e9336dee1f4345120ab57e8aa9e634c79dbbfa6,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,1cc99c7d3755f8acd1b16c1f394ab86fb7e88d393f52a44c5fab2f61b250e2c8,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_99428148D8ADA25E0071,65233fe37ecbd5b33769893baf9f397e028398093eca618a3df0c0f8a77fdcb0,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,05ba10cd35dcf8bd9927a1463cb5a7e057f7baa5538e7aa968af5db5fc15fc43,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_B86AB6B9C01F42138B30,ac0925dbbd77953c44afc3da6e56659840d0dc5ad713274612f61d3da70ccb66,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,7b592d770c7ca5c2fbe3587b11db00ec15146327beed42db3c24fc3cc51070d7,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_A08F33C75CE465220BE9,b68dd4563310ec2106cb28726fa5506f7e511716c376a6dad965803a88280425,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,3786041fa3b08e45f5381f6f9ed30c0252044573c1c63c15560e34926f7eb626,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_AF082F537854EC9E4ED5,db2549692a6489220daebf18fa2f61a25b2e1bce0b4f03f4bb9ad72ad8300a20,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,fad9ee81dd0fc376db4d3248f92cc2ac15c0dfdd502300a75a441622d19c3ea4,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_8E1DD84B8CF36FBDB9BE,fffbde45f3ab0c0392cbc2ca96643f2f4b0c84b892055f96c6e31d534139ce9d,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,001798030e8620bdf42f86d525065da99d176c6fd1bce7ef4c13241315be6530,1,False,False
