segment_id,run_id,track_id,family_id,N_static_physical_region_incidence,N_temporal_family_for_track,baseline_joint_worlds_containing_family,possible_joint_worlds_containing_family,excluded_joint_worlds_containing_family,family_world_retention_fraction,family_status,manual_reference_used,N_possible_family_for_track,N_necessary_family_for_track,N_excluded_family_for_track
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_9FD4433A081282B37621,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_A366EB05DBB05FFF534D,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_B5137AAE05CE00E4C541,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_B9D3E0E6AD1A7EDDAC4F,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_BE483C82D6E92D428424,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_BF13D94DC4382AF5EC22,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_C78C836396BDB7A93ED4,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_C7DCB0220A263372D624,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_CBB7680ABA89668A5B8C,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_CC38D28BBFD190B38A39,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
