window_id,run_id,source_sar_frame,destination_sar_frame,branch_count,hypothesis_count,concordant_count,contradictory_count,weak_count,structural_indeterminate_count,unavailable_count,possible_rescue_candidate_gt_blind,manual_reference_used,rescue_established
CMRW_DE04923344BEF045702C,R02ZF,475,476,2,44,0,0,26,18,0,False,False,False
CMRW_E1D59F3D69AF1D83BFBA,R01ZF,89,90,3,195,60,45,1,89,0,True,False,False
CMRW_E20C88BD99A6BB279A7C,R01ZF,0,1,2,236,0,0,187,49,0,False,False,False
CMRW_E22867B31E53AF99B8BC,R03ZF,469,470,1,3,0,0,2,1,0,False,False,False
CMRW_E6916E0B4925B3BA0B4D,R01ZF,99,100,1,210,77,81,0,52,0,True,False,False
CMRW_E7238EC37F0DBD7D2036,R01ZF,80,81,3,336,129,133,3,71,0,True,False,False
CMRW_E8085FC608B0D40E484D,R01ZF,15,16,2,648,284,253,0,111,0,True,False,False
CMRW_E84D400B6F7BA85E1A1E,R01ZF,39,40,3,372,50,34,77,211,0,True,False,False
CMRW_E939C7290C291705F8B1,R02ZF,472,473,2,98,0,0,70,28,0,False,False,False
CMRW_E9FA7C8FD7E37233139B,R01ZF,65,66,3,401,156,143,0,102,0,True,False,False
CMRW_EAA0B64F7809545F52B0,R01ZF,40,41,3,312,94,70,4,144,0,True,False,False
CMRW_EF14CC418DDD989F8FE8,R01ZF,49,50,3,457,115,77,100,165,0,True,False,False
CMRW_F18C5419CF12BAF4CACF,R01ZF,59,60,3,470,99,66,188,117,0,True,False,False
CMRW_F44E924C8C6B59C855B4,R01ZF,19,20,3,658,0,0,0,658,0,False,False,False
CMRW_F523DFB16AAE630D5E3C,R01ZF,100,101,1,165,72,54,0,39,0,True,False,False
CMRW_F954ADE158FB344F203D,R02ZF,477,478,2,64,0,0,48,16,0,False,False,False
CMRW_FA8BDA964D2EF9AF9A18,R01ZF,109,110,1,182,74,69,0,39,0,True,False,False
CMRW_FB63E100AA8E72F1F582,R01ZF,104,105,1,156,83,51,0,22,0,True,False,False
CMRW_FD710BB4828C9A8D519E,R01ZF,82,83,3,310,0,0,257,53,0,False,False,False
