order_profile_id,segment_id,run_id,track_a,track_b,old_relative_order_compatibility,possible_relation_set,relation_set_classification,family_a_count,family_b_count,family_pair_space_size,family_pairs_with_common_frames,left_frame_set,right_frame_set,overlap_frame_set,shared_frame_set,definite_order_frame_set,competing_direction_frame_set,unavailable_frame_set,left_family_pair_support_count,right_family_pair_support_count,overlap_family_pair_support_count,shared_family_pair_support_count,old_shared_information_loss_repaired,best_family_pair_selected,weighted_vote_used,manual_reference_used
TERGOP_11A469429C8A81905FE0,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,20,14,280,130,485;487,481;482;483;484;485;486;487,484;485;486;487,484;485;486;487,481;482;483,485;487,480,3,109,13,6,True,False,False,False
TERGOP_76426792894736EAE2FA,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,20,4,80,32,,486;487,487,487,486,,480;481;482;483;484;485,0,30,1,1,True,False,False,False
TERGOP_AC9A48B9A7E1E597943C,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,17,14,238,130,,481;482;483;484;485;486;487,485;486;487,485;486;487,481;482;483;484,,480,0,123,6,2,True,False,False,False
TERGOP_FC72507364123FBBF947,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,ORDER_SUPPORTIVE,{RIGHT},SINGLE_RELATION,17,4,68,38,,486;487,,,486;487,,480;481;482;483;484;485,0,38,0,0,False,False,False,False
TERGOP_82A10650D3B8E3892C57,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,14,4,56,28,487,486;487,487,486;487,,487,481;482;483;484;485,5,16,3,4,True,False,False,False
TERGOP_7EAEA1F706B74D0CEA0E,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,14,11,154,128,481;482;483;484;485,481;482;483;484;485,481;482;483;484;485,481;482;483;484;485,,481;482;483;484;485,,54,25,50,11,True,False,False,False
TERGOP_722FF98E6AE0A93EBAC5,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,14,9,126,87,485,481;482;483;484;485,484;485,484;485,481;482;483,485,,1,75,7,4,True,False,False,False
TERGOP_502E22A20AD671392149,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,11,9,99,76,,481;482;483;484;485,485,485,481;482;483;484,,,0,73,2,1,True,False,False,False
TERGOP_2DAB70CC63B33B860E98,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,19,16,304,206,481;482;483;484;485;486;487;488,481;482;483;484;485;486;487;488,481;482;483;484;485;486;487;488,481;482;483;484;485;486;487;488,,481;482;483;484;485;486;487;488,,94,41,73,15,True,False,False,False
TERGOP_DCF984A8A07A8435C1B5,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,19,17,323,163,485;487;488,481;482;483;484;485;486;487;488,484;485;486;487;488,484;485;486;487;488,481;482;483,485;487;488,,4,138,17,7,True,False,False,False
TERGOP_254F224FC00AFA005ECA,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,19,6,114,54,,486;487;488,487;488,487;488,486,,481;482;483;484;485,0,52,2,1,True,False,False,False
