primary_hypothesis_id,control_hypothesis_id,control_family,match_tier,static_distance,direction_used_for_selection,reference_used_for_selection
H_DD35E15307A378F4410D,H_BFA8ED53A2A72E88535C,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.45920520897551775,False,False
H_853922DE83BA68EC8989,H_A8296C12023409F15AF1,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.536041927273794,False,False
H_A8296C12023409F15AF1,H_853922DE83BA68EC8989,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.536041927273794,False,False
H_A43FA8AA5E3B0464103C,H_B28E623B744FC2290FE4,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.2532654888135384,False,False
H_B28E623B744FC2290FE4,H_A43FA8AA5E3B0464103C,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.2532654888135384,False,False
H_524B57A65A09BAE9EE92,H_7B4F1868D9FDDB7F2692,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.3781669340338596,False,False
H_7B4F1868D9FDDB7F2692,H_524B57A65A09BAE9EE92,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.3781669340338596,False,False
H_5A001E5FF25A08C5076B,H_A5840D549C92AF28BF1A,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.28863240088991216,False,False
H_A5840D549C92AF28BF1A,H_5A001E5FF25A08C5076B,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.28863240088991216,False,False
H_1E30F9AF96532E61FE1D,H_3C5812B4BCA2E2E435DB,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.7066147353593996,False,False
H_3C5812B4BCA2E2E435DB,H_1E30F9AF96532E61FE1D,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.7066147353593996,False,False
H_31A024BAEE41F225FDC2,H_C546120F388A6EB85A33,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.3724182627501606,False,False
H_C546120F388A6EB85A33,H_31A024BAEE41F225FDC2,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.3724182627501606,False,False
H_83BDEFA32828FC60D232,H_EE25D24BAB092EA187D5,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.7760700394940465,False,False
H_EE25D24BAB092EA187D5,H_83BDEFA32828FC60D232,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.7760700394940465,False,False
H_38D10C8979218702E3F1,H_918F24ACC3515FC8A853,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.3724182627501606,False,False
H_918F24ACC3515FC8A853,H_38D10C8979218702E3F1,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.3724182627501606,False,False
