timing_condition,pair_index,source_track_id,source_optical_frame_index,destination_optical_frame_index,d_left_o_deg_v2,d_right_o_deg_v2,d_mid_o_deg_v2,d_width_o_deg_v2,optical_dynamic_state_v2,bank_row_multiplicity
SAR_SHIFT_PLUS_1,12,R02ZF_REUSED_R02ZF_PERSON018,291.0,292.0,0.8959734968402273,0.902581247061466,0.8992773719508484,0.006607750221238717,OPTICAL_COHERENT_POSITIVE_SHIFT,99
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,15,R02ZF_REUSED_R02ZF_PERSON021,293.0,294.0,1.9765249750753355,1.9295167727199534,1.9530208738976462,-0.04700820235538217,OPTICAL_COHERENT_POSITIVE_SHIFT,56
SAR_SHIFT_PLUS_1,17,R02ZF_REUSED_R02ZF_PERSON017,294.0,295.0,0.8724183320789365,0.8455723124005132,0.8589953222397231,-0.02684601967842326,OPTICAL_COHERENT_POSITIVE_SHIFT,77
SAR_SHIFT_PLUS_1,11,R02ZF_REUSED_R02ZF_PERSON018,290.0,291.0,0.9363475017006273,0.955124253988469,0.9457358778445482,0.018776752287841703,OPTICAL_COHERENT_POSITIVE_SHIFT,81
NOMINAL,13,R02ZF_REUSED_R02ZF_PERSON021,291.0,292.0,1.8732160147384747,1.9372629764583351,1.9052394955984013,0.06404696171986046,OPTICAL_COHERENT_POSITIVE_SHIFT,12
NOMINAL,20,R02ZF_REUSED_R02ZF_PERSON018,295.0,296.0,0.8247578992052169,0.9029848731846535,0.863871386194937,0.07822697397943656,OPTICAL_COHERENT_POSITIVE_SHIFT,144
SAR_SHIFT_MINUS_1,14,R02ZF_REUSED_R02ZF_PERSON021,291.0,292.0,1.8732160147384747,1.9372629764583351,1.9052394955984013,0.06404696171986046,OPTICAL_COHERENT_POSITIVE_SHIFT,21
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,12,R02ZF_REUSED_R02ZF_PERSON017,291.0,292.0,0.9527171449793741,0.9162003736244593,0.9344587593019185,-0.03651677135491482,OPTICAL_COHERENT_POSITIVE_SHIFT,72
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,13,R02ZF_REUSED_R02ZF_PERSON018,292.0,293.0,0.8124212620959028,0.8551356474508118,0.8337784547733573,0.04271438535490901,OPTICAL_COHERENT_POSITIVE_SHIFT,121
SAR_SHIFT_MINUS_1,18,R02ZF_REUSED_R02ZF_PERSON017,293.0,294.0,0.879091183286242,0.8774294805811564,0.878260331933701,-0.0016617027050855881,OPTICAL_COHERENT_POSITIVE_SHIFT,156
