scenario,unit_id,overlap_cluster_id,run_id,entity_id,observed_frame_count,N_region_median,N_region_mean,N_region_max,N_family_median,N_family_mean,N_family_max,A_candidate_px_median,A_candidate_m2_median,A_candidate_over_A_search_support_median,N_joint_world_median_secondary
CURRENT_RUNTIME,R02ZF_MECHANICAL_EARLY,R02ZF_MECHANICAL_EARLY_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100001,7,9.0,8.428571428571429,12,9.0,8.428571428571429,12,4819.0,5.51241541478649,0.11981772346640342,9.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_MAX_BURDEN,R02ZF_MECHANICAL_MAX_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON011,2,14.0,14.0,14,14.0,14.0,14,3657.5,4.183784888894291,0.09080440184047026,1288.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_MAX_BURDEN,R02ZF_MECHANICAL_MAX_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100014,7,16.0,15.285714285714286,18,16.0,15.285714285714286,18,3776.0,4.319336087618549,0.094027657065322,272.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_MAX_BURDEN,R02ZF_MECHANICAL_MAX_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100015,8,15.0,14.875,17,15.0,14.875,17,3511.0,4.016204714944047,0.08836884030811003,280.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_MAX_BURDEN,R02ZF_MECHANICAL_MAX_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100016,4,14.5,14.5,16,14.5,14.5,16,3199.0,3.6593104195687864,0.0794181718772348,1288.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_BOUNDARY,R02ZF_MECHANICAL_BOUNDARY_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,10,12.0,11.7,15,8.5,8.9,11,4165.5,4.764882010851446,0.07677678304075723,3843.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_BOUNDARY,R02ZF_MECHANICAL_BOUNDARY_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,10,12.5,12.3,15,9.0,9.1,11,4717.5,5.396310379592293,0.08763742957268666,3843.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_BOUNDARY,R02ZF_MECHANICAL_BOUNDARY_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,10,8.0,7.6,11,7.0,6.7,10,2869.0,3.281826068691106,0.03984417143145125,3843.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_BOUNDARY,R02ZF_MECHANICAL_BOUNDARY_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,8,4.0,4.0,5,3.5,3.625,5,1742.5,1.993231761831388,0.03506100814459527,7875.0
CURRENT_RUNTIME,R02ZF_MECHANICAL_BOUNDARY,R02ZF_MECHANICAL_BOUNDARY_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,6,4.5,4.5,6,4.0,4.166666666666667,6,1917.0,2.192840911007616,0.03148399121712365,10848.0
CURRENT_RUNTIME,R03ZF_MECHANICAL_EARLY,R03ZF_MECHANICAL_EARLY_CLUSTER,R03ZF,R03ZF_I01_ANON00001,7,7.0,8.0,14,7.0,8.0,14,1046.0,1.196511003085011,0.025543434294533,2401.0
CURRENT_RUNTIME,R03ZF_MECHANICAL_EARLY,R03ZF_MECHANICAL_EARLY_CLUSTER,R03ZF,R03ZF_I01_ANON00002,7,7.0,7.428571428571429,13,7.0,7.428571428571429,13,1046.0,1.196511003085011,0.026601772121511272,2401.0
