scenario,entity_kind,run_id,frame_index,entity_id,target_id_oracle,range_tolerance_m,range_oracle_level,N_region_before,N_region_after,N_family_before,N_family_after,A_candidate_px_before,A_candidate_px_after,A_candidate_m2_before,A_candidate_m2_after,reference_range_retained,oracle_diagnostic_only
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,483,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,9,3,9,3,4202.0,1831.0,4.806634067842463,2.0944662013849475,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,483,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,10,3,10,3,4239.0,1831.0,4.848958070819657,2.0944662013849475,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,483,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,3,2,3,2,1207.0,778.0,1.3806776106344247,0.8899479544934403,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,487,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,10,4,8,2,3987.0,1632.0,4.560697293785792,1.866831698885983,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,487,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,12,4,9,1,5232.0,2399.0,5.984842799369768,2.7441968416835003,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,487,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,7,2,6,2,2690.0,1015.0,3.077069405639273,1.1610503519419562,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,487,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_SARPERSON04,3.0,COARSE_RANGE_PM_3M,4,1,3,1,1653.0,1003.0,1.8908534303054714,1.1473236482736768,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,488,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,11,3,8,1,3629.0,1506.0,4.151183967682128,1.7227013103690503,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,488,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,13,4,9,1,5295.0,2667.0,6.0569079936282355,3.0507598902750708,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,488,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,7,1,5,1,2067.0,759.0,2.364424706861107,0.8682140070186648,True,True
