order_profile_id,segment_id,run_id,track_a,track_b,component_a_count,component_b_count,component_pair_space_size,optical_order_state,sar_order_state,relative_order_compatibility,common_frame_count,shared_response_observed,shared_region_frame_count,order_representation,weighted_score_used,manual_reference_used
TERGOP_7EAEA1F706B74D0CEA0E,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,14,11,154,A_LEFT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,5,True,5,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_722FF98E6AE0A93EBAC5,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,14,9,126,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,5,True,2,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_502E22A20AD671392149,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,11,9,99,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,5,True,1,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_2DAB70CC63B33B860E98,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,19,16,304,A_LEFT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_DCF984A8A07A8435C1B5,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,19,17,323,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,5,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_254F224FC00AFA005ECA,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,19,6,114,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,3,True,2,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_5D4FBCF5EFEBCB9F38FA,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,19,4,76,A_RIGHT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,1,True,1,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_7C11C596AAC78813A48B,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,16,17,272,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,4,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_6591FF3E06AFA716311C,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,16,6,96,A_RIGHT_OF_B,A_RIGHT_OF_B,ORDER_SUPPORTIVE,3,False,0,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_C262180A006B74980A57,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,16,4,64,A_RIGHT_OF_B,A_RIGHT_OF_B,ORDER_SUPPORTIVE,1,False,0,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
