explanation_component_id,segment_id,run_id,track_id,segment_start_sar_frame,segment_end_sar_frame,segment_frame_count,component_start_sar_frame,component_end_sar_frame,component_frame_count,component_node_count,component_supported_edge_count,component_transition_count,component_frame_coverage_fraction,contains_split_like,contains_merge_like,contains_deformation,contains_boundary_censoring,unique_path_claimed,identity_claimed,manual_reference_used
TERGXC_574CBE5578E855E70637,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,12,15,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_E5C646D4F3B41C68464E,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,12,15,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_86CBFE070F35BC240C1A,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,12,15,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_6436C93C322FC3E5EE76,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,14,14,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_083440C54916365A354A,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,14,15,2,2,1,1,0.125,False,False,True,False,False,False,False
TERGXC_81BC29C113BFC4C57792,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,14,15,2,2,1,1,0.125,False,False,True,False,False,False,False
TERGXC_29373B663BE54F765189,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,15,15,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_A52348211A8276516EC4,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,15,15,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_A7E4D2A52482FC777FCD,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,15,15,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_10B1C44B0C1AA95569FA,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,15,15,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_8C8DA05264356E9A5EBB,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,0,15,16,16,15,15,1.0,False,False,True,False,False,False,False
TERGXC_B1488DC4EC23AC286B19,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,0,15,16,16,15,15,1.0,False,False,True,False,False,False,False
TERGXC_3AD064004D42EA8BAAA6,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,0,12,13,20,20,12,0.8125,True,True,True,False,False,False,False
TERGXC_DB48693B674FACAEAE44,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,0,15,16,16,15,15,1.0,False,True,True,False,False,False,False
TERGXC_04E3941B1C72368907C7,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,0,8,9,9,8,8,0.5625,False,False,True,False,False,False,False
TERGXC_38A81F996B3B75EC32C6,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,0,4,5,5,4,4,0.3125,False,False,True,False,False,False,False
TERGXC_019E56BCECC02821E976,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,0,15,16,16,15,15,1.0,False,False,True,False,False,False,False
TERGXC_118EBFAC6E8DB4AAC00F,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,0,12,13,13,12,12,0.8125,False,False,True,False,False,False,False
TERGXC_0902109B9DF2B3E63DB6,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,1,4,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_06540849BC11F3ADD2F3,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,1,1,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_74E5B0AED2D7B2BA7594,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,1,1,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_67582FDE627AE3B32448,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,1,1,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_CD2034B5F5CA619BC3D6,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,2,3,2,2,1,1,0.125,False,False,True,False,False,False,False
TERGXC_480E60EB74906A75DF09,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,2,2,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_4F85E5F0DCF568628A4E,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,3,3,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_005825A4750F71D5E3F0,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,3,3,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_CF2C5E36F52055BDE0C9,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,4,15,12,12,11,11,0.75,False,False,True,False,False,False,False
TERGXC_11AD617852C5EA9DA2B8,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,4,6,3,3,2,2,0.1875,False,False,True,False,False,False,False
TERGXC_CE2B5E0D15DA0F44FD14,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,5,15,11,12,12,10,0.6875,True,True,True,False,False,False,False
TERGXC_BAD6B1DCCDB13A32536C,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,5,10,6,6,5,5,0.375,False,False,True,False,False,False,False
TERGXC_6B48E0411B7A66D7CEAA,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,5,7,3,3,2,2,0.1875,False,False,True,False,False,False,False
TERGXC_91B4658F2D7309E572F7,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,5,5,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_0A70AECA18F6B4E723AD,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,5,5,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_F2D92A142BBC0C8E14F6,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,7,15,9,9,8,8,0.5625,False,False,True,False,False,False,False
TERGXC_0FDBDF70D45015809A7F,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,8,15,8,8,7,7,0.5,False,False,True,False,False,False,False
TERGXC_EE5395281F4A0CBF2E62,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,0,15,16,8,15,8,8,7,7,0.5,False,False,True,False,False,False,False
