sar_event_id,segment_id,run_id,explanation_component_id,track_id,event_type,support_start_sar_frame,support_end_sar_frame,event_uncertainty_state,observable_evidence,event_is_person_event,event_is_hard_label,manual_reference_used
TERGSE_AB14FB9F6388A9DE4425,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_525F481762874A17DB37,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,9,9,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_D2FB76CC9B5182C1A029,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_5F4C10E9F1506E70E510,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,9,9,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_1F8CCF2EFBFFC6A634C0,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_5F4C10E9F1506E70E510,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,9,9,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_E3EA02EAFDBB15FA7C62,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_5F4C10E9F1506E70E510,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,9,9,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_82F0D3C0957DF870C2C9,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2B4DC1A6FB8006CFC78A,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,9,9,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_D25929622C64A26AFFE0,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2B4DC1A6FB8006CFC78A,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,9,9,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_38F7065635056F6B5578,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2B4DC1A6FB8006CFC78A,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,9,9,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_A72565EDDBAC624B004E,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2D5466606E363B711335,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,9,9,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_BCB1B61FC37B3F02684F,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2D5466606E363B711335,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,9,9,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_7885D23D794947581465,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2D5466606E363B711335,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,9,9,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_7BCB2B40633B728E64B7,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_4D8CC0B570DEF2322916,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,9,9,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_81CB5F9CC3715BB10C97,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_4D8CC0B570DEF2322916,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,9,9,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_C25308D8E73C437379F5,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_4D8CC0B570DEF2322916,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,9,9,SET_VALUED,last q95 node in this explanation component,False,False,False
