scenario,entity_kind,run_id,frame_index,entity_id,target_id_oracle,range_tolerance_m,range_oracle_level,N_region_before,N_region_after,N_family_before,N_family_after,A_candidate_px_before,A_candidate_px_after,A_candidate_m2_before,A_candidate_m2_after,reference_range_retained,oracle_diagnostic_only,counterexample_kind
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,483,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,10,3,10,3,4239.0,1831.0,4.848958070819657,2.0944662013849475,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,494,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,10,3,10,3,3423.0,1139.0,3.9155422213766657,1.3028929565141756,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,482,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,9,3,9,3,3822.0,1753.0,4.371955118346952,2.0052426275411324,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,482,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,9,3,9,3,3479.0,1753.0,3.979600171828636,2.0052426275411324,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,483,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,9,3,9,3,4202.0,1831.0,4.806634067842463,2.0944662013849475,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,45,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,22,2,20,2,6921.0,826.0,7.916876340680078,0.9448547691665574,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,77,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,19,3,16,2,8203.0,1198.0,9.383345849241248,1.3703825828832152,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,60,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,19,2,15,2,6498.0,739.0,7.433010036373233,0.8453361675715326,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,77,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,16,2,15,2,6235.0,862.0,7.132166447643446,0.9860348801713953,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,5,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,15,2,14,2,6866.0,953.0,7.853962282200465,1.0901290496558467,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,75,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,14,2,13,2,7020.0,1187.0,8.030121645943382,1.3577997711872927,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,85,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,13,2,13,2,4814.0,581.0,5.506695954924707,0.6646012359391887,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,93,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,16,2,13,2,4579.0,672.0,5.237881341420904,0.76869540542364,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,110,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,14,2,13,2,3539.0,597.0,4.048233690170031,0.6829035074968944,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,66,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,12,2,12,2,5959.0,1220.0,6.816452263273021,1.3955482062750608,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,90,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,15,2,12,2,5983.0,531.0,6.843905670609581,0.6074066373213584,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,55,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,12,2,11,2,6789.0,834.0,7.765882600329006,0.9540059049454104,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,90,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,11,2,11,2,3573.0,645.0,4.087126017230157,0.7378103221700116,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,40,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,10,2,10,2,7769.0,1176.0,8.88689673323848,1.34521695949137,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,85,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,10,2,10,2,3842.0,705.0,4.394832957794085,0.8064438405114079,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,40,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,9,2,9,2,9967.0,1176.0,11.401171288478304,1.34521695949137,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,473,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,11,4,9,2,3611.0,1626.0,4.130593912179708,1.859968347051843,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,10,2,8,2,5156.0,1203.0,5.897907009470666,1.3761020427449984,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,17,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,9,2,8,2,4049.0,718.0,4.6316185960719025,0.8213144361520439,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,487,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,10,4,8,2,3987.0,1632.0,4.560697293785792,1.866831698885983,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,8,2,7,2,4079.0,1486.0,4.665935355242601,1.6998234709219182,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,473,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,9,4,7,2,2878.0,1626.0,3.2921210964423153,1.859968347051843,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,490,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,9,2,7,2,4759.0,523.0,5.443781896445093,0.5982555015425055,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R03ZF,494,R03ZF_I01_T0004,R03ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,7,2,7,2,4661.0,737.0,5.3316804831541456,0.8430483836268194,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,472,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,7,2,6,2,3402.0,1486.0,3.8915204899571774,1.6998234709219182,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,487,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,7,2,6,2,2690.0,1015.0,3.077069405639273,1.1610503519419562,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,494,R02ZF_REUSED_R02ZF_PERSON024,R02ZF_SARPERSON04,3.0,COARSE_RANGE_PM_3M,5,2,5,2,2226.0,1133.0,2.5463035304658073,1.296029604680036,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,494,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_SARPERSON04,3.0,COARSE_RANGE_PM_3M,4,2,4,2,2159.0,1133.0,2.4696627683179146,1.296029604680036,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,483,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,3,2,3,2,1207.0,778.0,1.3806776106344247,0.8899479544934403,True,True,PM3M_STILL_MULTIPLE_FAMILIES
