d_parallel_m,response_median,response_q75,contrast_median,contrast_p25,theta_coherence_median,theta_coherence_p25,temporal_persistence,temporal_positive_fraction,temporal_contrast_iqr,contrast_smooth,persistence_coherence_score
5.6999965,0.18017769,0.18783701956272125,-0.00674019,-0.008003976196050644,0.11691542288557213,0.09203980099502487,0.0,0.0,0.002366725355386734,0.0,0.0
5.749996,0.17946155,0.18677619099617004,-0.008229926,-0.010152410715818405,0.10945273631840796,0.07960199004975124,0.0,0.0,0.003802832216024399,0.0,0.0
5.7999964,0.17895222,0.18697917461395264,-0.0068780705,-0.008048012852668762,0.10945273631840796,0.07960199004975124,0.0,0.0,0.0022575743496418,0.0,0.0
5.8499966,0.1793505,0.1881893426179886,-0.0064414963,-0.007632508873939514,0.13432835820895522,0.11442786069651742,0.0,0.0,0.0020354725420475006,0.0,0.0
5.8999963,0.17932369,0.18620558828115463,-0.007410392,-0.008601423352956772,0.10945273631840796,0.09950248756218906,0.0,0.0,0.002937350422143936,0.0,0.0
5.949996,0.18026195,0.1879901885986328,-0.006579347,-0.007751211524009705,0.12437810945273632,0.1044776119402985,0.0,0.0,0.002606082707643509,0.0,0.0
5.999996,0.18082109,0.18820466101169586,-0.0058440566,-0.006766993552446365,0.13432835820895522,0.10572139303482586,0.0,0.0,0.002336077392101288,0.0,0.0
6.0499964,0.18034619,0.1892884597182274,-0.007092528,-0.009095430374145508,0.12935323383084577,0.10945273631840796,0.0,0.0,0.0035615861415863037,0.0,0.0
6.099996,0.18062194,0.1874195784330368,-0.0065602213,-0.007733985781669617,0.10945273631840796,0.0945273631840796,0.0,0.0,0.0025658756494522095,0.0,0.0
6.149996,0.18190871,0.19009651243686676,-0.005935967,-0.006763175129890442,0.14925373134328357,0.12437810945273632,0.0,0.0,0.001955036073923111,0.0,0.0
6.199996,0.18020834,0.18840763717889786,-0.0077780336,-0.009380735456943512,0.0945273631840796,0.0708955223880597,0.0,0.0,0.0031211599707603455,0.0,0.0
6.249996,0.18146446,0.1908164918422699,-0.007682301,-0.009830735623836517,0.11194029850746269,0.09950248756218906,0.0,0.0,0.0038603022694587708,0.0,0.0
6.299996,0.18106619,0.18897059559822083,-0.007555917,-0.00889245793223381,0.10696517412935323,0.0845771144278607,0.0,0.0,0.0023169368505477905,0.0,0.0
6.3499956,0.18268996,0.1904718205332756,-0.009083927,-0.010922174900770187,0.11194029850746269,0.09079601990049752,0.0,0.0,0.003965601325035095,0.0,0.0
6.399996,0.18195465,0.18946079164743423,-0.010416679,-0.012055763974785805,0.07960199004975124,0.05472636815920398,0.0,0.0,0.0028875861316919327,0.0,0.0
6.449996,0.1829657,0.1920190006494522,-0.012660846,-0.014977797865867615,0.10199004975124379,0.07462686567164178,0.0,0.0,0.004497937858104706,0.0,0.0
6.4999957,0.18245251,0.19055607169866562,-0.02121631,-0.025467220693826675,0.03980099502487562,0.026119402985074626,0.0,0.0,0.006043199449777603,0.0,0.0
6.5499954,0.18157169,0.192585788667202,-0.03353247,-0.037291280925273895,0.02736318407960199,0.011194029850746268,0.0,0.0,0.006784249097108841,0.0,0.0
6.5999956,0.18318015,0.1915287971496582,-0.042555153,-0.044952500611543655,0.01990049751243781,0.009950248756218905,0.0,0.0,0.004756413400173187,4.3309063410922584e-07,0.0
6.649996,0.18599494,0.19476870447397232,-0.047537535,-0.051817167550325394,0.01990049751243781,0.009950248756218905,0.0,0.0,0.007071461528539658,3.6815735318011943e-06,0.0
6.6999955,0.1859375,0.19349724799394608,-0.046660535,-0.049050260335206985,0.014925373134328358,0.009950248756218905,0.0,0.0,0.004986237734556198,2.0778551544927978e-05,0.0
6.749995,0.18628985,0.19544271379709244,-0.04214154,-0.04512100666761398,0.029850746268656716,0.024875621890547265,0.0,0.0,0.006177224218845367,9.120433024510592e-05,0.0
6.7999954,0.18756895,0.19856005162000656,-0.038013183,-0.04211665317416191,0.05472636815920398,0.03980099502487562,0.0,0.0,0.008919283747673035,0.00031909151427638837,0.0
6.8499956,0.19114584,0.20431985706090927,-0.03082107,-0.03684130311012268,0.0945273631840796,0.06592039800995025,0.0,0.0,0.009914975613355637,0.0008970762693669456,0.0
6.8999953,0.20392157,0.22144607454538345,-0.018259808,-0.022748172283172607,0.1890547263681592,0.15547263681592038,0.0,0.0,0.008773751556873322,0.0020409639172767227,0.0
6.949995,0.2160654,0.23671108484268188,-0.0040517747,-0.007479339838027954,0.31094527363184077,0.27860696517412936,0.0,0.25925925925925924,0.007402747869491577,0.003787394831218741,0.0
6.999995,0.22708334,0.2453584522008896,0.0064721256,0.0047583431005477905,0.4502487562189055,0.43283582089552236,0.18518518518518517,1.0,0.0041724033653736115,0.005782946080449209,0.0016698540875188517
7.0499954,0.23224571,0.25229012966156006,0.0128140375,0.010826442390680313,0.5398009950248757,0.5087064676616916,0.7962962962962963,1.0,0.004001978784799576,0.007335056762865135,0.00480903200364928
7.099995,0.2331342,0.25318628549575806,0.012630209,0.011224716901779175,0.5323383084577115,0.5124378109452736,0.7962962962962963,1.0,0.003720499575138092,0.00780508807934187,0.005081699925709713
7.149995,0.22922796,0.2459712103009224,0.008578427,0.007345277816057205,0.47761194029850745,0.4626865671641791,0.2037037037037037,1.0,0.0024586431682109833,0.007031807349571777,0.0021933301791252115
7.199995,0.2224303,0.24388786405324936,0.0049747303,0.003412216901779175,0.4203980099502488,0.39925373134328357,0.018518518518518517,0.9629629629629629,0.0029373466968536377,0.0054018381327915165,0.0004766230178564406
7.249995,0.22243796,0.24012331664562225,0.0020833313,-0.0006510429084300995,0.3880597014925373,0.36318407960199006,0.018518518518518517,0.6851851851851852,0.004658777266740799,0.0035497670300697667,0.0003009208252214697
7.299995,0.21779259,0.24041055142879486,-0.004342824,-0.006747853010892868,0.3283582089552239,0.30099502487562185,0.0,0.09259259259259259,0.004136018455028534,0.0019917720618645154,0.0
7.3499947,0.21636413,0.23469669371843338,-0.012530625,-0.013987816870212555,0.22388059701492538,0.19402985074626866,0.0,0.0,0.00377795472741127,0.0009477176476248403,0.0
7.399995,0.21345359,0.2344362735748291,-0.019738056,-0.022058837115764618,0.1691542288557214,0.13557213930348258,0.0,0.0,0.004586026072502136,0.0003784105248008096,0.0
7.449995,0.21023284,0.23210784792900085,-0.023475796,-0.026122085750102997,0.13930348258706468,0.11442786069651742,0.0,0.0,0.004241336137056351,0.00012521970197140045,0.0
7.4999948,0.21144302,0.23143382370471954,-0.023770683,-0.025436602532863617,0.13930348258706468,0.11069651741293532,0.0,0.0,0.0043179430067539215,3.387112419911015e-05,0.0
