order_profile_id,segment_id,run_id,track_a,track_b,current_relative_order_compatibility,current_shared_region_frame_count,component_pair_space_size,component_pairs_with_common_frames,possible_relation_set,relation_set_classification,pair_frame_left_count,pair_frame_right_count,pair_frame_shared_count,pair_frame_overlap_count,component_pair_support_left_count,component_pair_support_right_count,component_pair_support_shared_count,component_pair_support_overlap_count,exclusive_component_pair_left_count,exclusive_component_pair_right_count,exclusive_component_pair_shared_count,exclusive_component_pair_overlap_count
TERGOP_C549A406C8B9946C62B4,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,ORDER_AMBIGUOUS,0,132,48,"{OVERLAP,RIGHT}",SET_VALUED_NO_SHARED,0,73,0,1,0,48,0,1,0,47,0,0
TERGOP_73119F1CF4B51EB04FAE,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,1,242,146,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,278,1,11,0,142,1,6,0,139,1,3
TERGOP_A612C9611A000EDCA2ED,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,3,144,48,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,9,36,10,9,8,27,7,8,8,25,7,6
TERGOP_C9529519C165E3405BB1,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,7,264,138,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,23,172,27,45,18,92,12,21,17,88,12,16
TERGOP_86A78B8C42A5420EC70A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,2,66,14,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,4,4,6,4,3,3,4,4,3,3,4,4
TERGOP_0F69511D1B61ED85AE0F,TERGS_8D6DB9A2F108568B32AA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,6,264,160,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,1,287,11,31,1,144,5,16,1,139,4,10
TERGOP_FE8CC8A3F3D1AAD9751D,TERGS_A923293CFBC550AE18D7,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,1,242,146,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,278,1,11,0,142,1,6,0,139,1,3
TERGOP_D6C249BC998FC4E6C175,TERGS_F66D1A1E88076E254C22,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,7,231,141,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,23,175,27,45,18,95,12,21,17,91,12,16
TERGOP_C454632AA0854F5C8344,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,7,528,326,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,267,148,60,191,136,81,21,106,124,75,21,88
TERGOP_760A5C03BC8FBDEA6FB1,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,7,504,298,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,67,374,42,116,41,202,15,59,34,190,15,40
