run_id,sar_frame_index,sar_timestamp_ms,sar_image_path,optical_frame_index,optical_timestamp_ms,optical_image_path,timestamp_residual_ms,sync_status
R02ZF,49,1633,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000049_t001633ms.jpg,29,1611,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000029_t001611ms.jpg,-22,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,50,1667,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000050_t001667ms.jpg,30,1667,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000030_t001667ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,51,1700,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000051_t001700ms.jpg,31,1722,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000031_t001722ms.jpg,22,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,52,1733,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000052_t001733ms.jpg,31,1722,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000031_t001722ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,53,1767,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000053_t001767ms.jpg,32,1778,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000032_t001778ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,54,1800,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000054_t001800ms.jpg,32,1778,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000032_t001778ms.jpg,-22,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,55,1833,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000055_t001833ms.jpg,33,1833,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000033_t001833ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,56,1867,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000056_t001867ms.jpg,34,1889,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000034_t001889ms.jpg,22,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,57,1900,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000057_t001900ms.jpg,34,1889,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000034_t001889ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,58,1933,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000058_t001933ms.jpg,35,1944,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000035_t001944ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,59,1967,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000059_t001967ms.jpg,35,1944,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000035_t001944ms.jpg,-23,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,60,2000,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000060_t002000ms.jpg,36,2000,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000036_t002000ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,61,2033,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000061_t002033ms.jpg,37,2056,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000037_t002056ms.jpg,23,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,62,2067,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000062_t002067ms.jpg,37,2056,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000037_t002056ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,63,2100,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000063_t002100ms.jpg,38,2111,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000038_t002111ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,64,2133,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000064_t002133ms.jpg,38,2111,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000038_t002111ms.jpg,-22,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
