run_id,frame_uid,frame_index,sar_timestamp_ms,mode,shell_id,track_id,source_observation_count,source_timestamp_min_ms,source_timestamp_max_ms,source_has_future_observation,source_raw_fragment_ids,effective_intervals_json,effective_width_deg,candidate_q95_region_count,timing_window_low_offset_ms,timing_window_high_offset_ms,manual_reference_used,sar_range_assigned_by_optical,strict_runtime_identity_claimed
R01ZF,R01ZF_SARF000008,8,267,FULL_CONTEXT_OFFLINE,R01ZF_SARF000008__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,9,56,500,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-37.154004205929965, -3.9106829208285987]]",33.243321285101366,21,-250,250,False,False,False
R01ZF,R01ZF_SARF000009,9,300,CAUSAL_REPLAY,R01ZF_SARF000009__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,5,56,278,False,R01ZF_REUSED_R01ZF_PERSON001,"[[-43.59074715281272, -17.05099823162981]]",26.53974892118291,17,-250,0,False,False,False
R01ZF,R01ZF_SARF000009,9,300,CAUSAL_REPLAY,R01ZF_SARF000009__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,5,56,278,False,R01ZF_REUSED_R01ZF_PERSON002,"[[-37.154004205929965, -11.096455043329911]]",26.057549162600054,19,-250,0,False,False,False
R01ZF,R01ZF_SARF000009,9,300,FIXED_LAG_100MS,R01ZF_SARF000009__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,7,56,389,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-43.59074715281272, -13.38389541722324]]",30.206851735589478,21,-250,100,False,False,False
R01ZF,R01ZF_SARF000009,9,300,FIXED_LAG_100MS,R01ZF_SARF000009__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,7,56,389,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-37.154004205929965, -7.494615968785951]]",29.659388237144015,22,-250,100,False,False,False
R01ZF,R01ZF_SARF000009,9,300,FULL_CONTEXT_OFFLINE,R01ZF_SARF000009__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,9,56,500,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-43.59074715281272, -9.831223863411534]]",33.75952328940119,22,-250,250,False,False,False
R01ZF,R01ZF_SARF000009,9,300,FULL_CONTEXT_OFFLINE,R01ZF_SARF000009__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,9,56,500,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-37.154004205929965, -3.9106829208285987]]",33.243321285101366,23,-250,250,False,False,False
R01ZF,R01ZF_SARF000010,10,333,CAUSAL_REPLAY,R01ZF_SARF000010__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,5,111,333,False,R01ZF_REUSED_R01ZF_PERSON001,"[[-41.61359110504178, -15.199614036453905]]",26.413977068587872,16,-250,0,False,False,False
R01ZF,R01ZF_SARF000010,10,333,CAUSAL_REPLAY,R01ZF_SARF000010__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,5,111,333,False,R01ZF_REUSED_R01ZF_PERSON002,"[[-35.31154047355433, -9.253859481453638]]",26.057680992100693,17,-250,0,False,False,False
R01ZF,R01ZF_SARF000010,10,333,FIXED_LAG_100MS,R01ZF_SARF000010__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,6,111,389,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-41.61359110504178, -13.38389541722324]]",28.229695687818538,16,-250,100,False,False,False
R01ZF,R01ZF_SARF000010,10,333,FIXED_LAG_100MS,R01ZF_SARF000010__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,6,111,389,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-35.31154047355433, -7.494615968785951]]",27.81692450476838,19,-250,100,False,False,False
R01ZF,R01ZF_SARF000010,10,333,FULL_CONTEXT_OFFLINE,R01ZF_SARF000010__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,9,111,556,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-41.61359110504178, -8.05411338475368]]",33.5594777202881,19,-250,250,False,False,False
