run_id,frame_uid,frame_index,mode,active_raw_fragment_shell_count,shell_region_edge_count,q95_region_count_full_fan,negative_optical_time
R01ZF,R01ZF_SARF000093,93,FULL_CONTEXT_OFFLINE,3,31,53,False
R01ZF,R01ZF_SARF000094,94,CAUSAL_REPLAY,3,27,50,False
R01ZF,R01ZF_SARF000094,94,FIXED_LAG_100MS,3,27,50,False
R01ZF,R01ZF_SARF000094,94,FULL_CONTEXT_OFFLINE,3,28,50,False
R01ZF,R01ZF_SARF000095,95,CAUSAL_REPLAY,3,27,53,False
R01ZF,R01ZF_SARF000095,95,FIXED_LAG_100MS,3,27,53,False
R01ZF,R01ZF_SARF000095,95,FULL_CONTEXT_OFFLINE,3,29,53,False
R01ZF,R01ZF_SARF000096,96,CAUSAL_REPLAY,3,27,52,False
R01ZF,R01ZF_SARF000096,96,FIXED_LAG_100MS,3,28,52,False
R01ZF,R01ZF_SARF000096,96,FULL_CONTEXT_OFFLINE,3,31,52,False
R01ZF,R01ZF_SARF000097,97,CAUSAL_REPLAY,3,25,48,False
R01ZF,R01ZF_SARF000097,97,FIXED_LAG_100MS,3,26,48,False
R01ZF,R01ZF_SARF000097,97,FULL_CONTEXT_OFFLINE,3,27,48,False
R01ZF,R01ZF_SARF000098,98,CAUSAL_REPLAY,2,22,52,False
R01ZF,R01ZF_SARF000098,98,FIXED_LAG_100MS,2,23,52,False
R01ZF,R01ZF_SARF000098,98,FULL_CONTEXT_OFFLINE,2,25,52,False
R01ZF,R01ZF_SARF000099,99,CAUSAL_REPLAY,2,23,59,False
R01ZF,R01ZF_SARF000099,99,FIXED_LAG_100MS,2,24,59,False
R01ZF,R01ZF_SARF000099,99,FULL_CONTEXT_OFFLINE,2,25,59,False
R01ZF,R01ZF_SARF000100,100,CAUSAL_REPLAY,2,25,55,False
R01ZF,R01ZF_SARF000100,100,FIXED_LAG_100MS,2,25,55,False
R01ZF,R01ZF_SARF000100,100,FULL_CONTEXT_OFFLINE,2,28,55,False
R01ZF,R01ZF_SARF000101,101,CAUSAL_REPLAY,1,16,56,False
R01ZF,R01ZF_SARF000101,101,FIXED_LAG_100MS,1,17,56,False
R01ZF,R01ZF_SARF000101,101,FULL_CONTEXT_OFFLINE,1,19,56,False
R01ZF,R01ZF_SARF000102,102,CAUSAL_REPLAY,1,18,54,False
R01ZF,R01ZF_SARF000102,102,FIXED_LAG_100MS,1,19,54,False
R01ZF,R01ZF_SARF000102,102,FULL_CONTEXT_OFFLINE,1,20,54,False
R01ZF,R01ZF_SARF000103,103,CAUSAL_REPLAY,1,14,48,False
R01ZF,R01ZF_SARF000103,103,FIXED_LAG_100MS,1,15,48,False
R01ZF,R01ZF_SARF000103,103,FULL_CONTEXT_OFFLINE,1,17,48,False
R01ZF,R01ZF_SARF000104,104,CAUSAL_REPLAY,1,15,50,False
R01ZF,R01ZF_SARF000104,104,FIXED_LAG_100MS,1,17,50,False
R01ZF,R01ZF_SARF000104,104,FULL_CONTEXT_OFFLINE,1,17,50,False
R01ZF,R01ZF_SARF000105,105,CAUSAL_REPLAY,1,15,49,False
R01ZF,R01ZF_SARF000105,105,FIXED_LAG_100MS,1,15,49,False
R01ZF,R01ZF_SARF000105,105,FULL_CONTEXT_OFFLINE,1,17,49,False
R01ZF,R01ZF_SARF000106,106,CAUSAL_REPLAY,1,14,48,False
R01ZF,R01ZF_SARF000106,106,FIXED_LAG_100MS,1,17,48,False
R01ZF,R01ZF_SARF000106,106,FULL_CONTEXT_OFFLINE,1,17,48,False
R01ZF,R01ZF_SARF000107,107,CAUSAL_REPLAY,1,15,52,False
